NUMERICAL CODE,CTRY_NAME,ISO_3_CODE,ALUMNI_NAME,ALUMNI,INT_STU_NAME,INT_STUDENTS
524,Nepal,NPL,Nepal,12,Nepal,9
528,Netherlands,NLD,Netherlands,191,Netherlands,26
540,New Caledonia,NCL,New Caledonia,1,,
554,New Zealand,NZL,New Zealand,322,New Zealand,25
558,Nicaragua,NIC,Nicaragua,3,Nicaragua,1
528,Netherlands,NLD,Netherlands Antilles,3,Netherlands Antilles,3
562,Niger,NER,Niger,69,,
566,Nigeria,NGA,Nigeria,104,Nigeria,183
580,Northern Mariana Islands,MNP,North Mariana,3,,
578,Norway,NOR,Norway,97,Norway,13
512,Oman,OMN,Oman,32,Oman,21
586,Pakistan,PAK,Pakistan,276,Pakistan,168
275,State of Palestine,PSE,Palestine,1,Palestine,10
591,Panama,PAN,Panama,12,Panama,10
598,Papua New Guinea,PNG,Papua New Guinea,6,Papua New Guinea,2
600,Paraguay,PRY,Paraguay,2,Paraguay,1
604,Peru,PER,Peru,57,Peru,31
608,Philippines,PHL,Philippines,116,Philippines,27
616,Poland,POL,Poland,38,Poland,12
620,Portugal,PRT,Portugal,40,Portugal,19
630,Puerto Rico,PRI,Puerto Rico,16,Puerto Rico,1
634,Qatar,QAT,Qatar,36,Qatar,4
410,Republic of Korea,KOR,South Korea,535,South Korea,582
642,Romania,ROU,Romania,24,Romania,9
646,Rwanda,RWA,Rwanda,3,Rwanda,3
643,Russian Federation,RUS,Russian Federation,46,Russian Federation,137
659,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,14,,
662,Saint Lucia,LCA,Saint Lucia,25,,
666,Saint Pierre and Miquelon,SPM,Saint Pierre and Miquelon,1,,
670,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,14,,
682,Saudi Arabia,SAU,Saudi Arabia,247,Saudi Arabia,229
686,Senegal,SEN,Senegal,3,Senegal,8
688,Serbia,SRB,Serbia,17,Serbia,8
690,Seychelles,SYC,Seychelles,3,,
694,Sierra Leone,SLE,Sierra Leone,15,Sierra Leone,1
702,Singapore,SGP,Singapore,745,Singapore,85
703,Slovakia,SVK,Slovak Republic,6,Slovak Republic,7
705,Slovenia,SVN,Slovenia,14,Slovenia,2
706,Somalia,SOM,Somalia,,Somalia,1
710,South Africa,ZAF,South Africa,170,South Africa,22
724,Spain,ESP,Spain,111,Spain,42
144,Sri Lanka,LKA,Sri Lanka,64,Sri Lanka,22
